Adler, x 548, y 2097
SWIFT J5136.4+3932, x 1842, y 1552
SWIFT J5857.4+3993, x -953, y -85
SWIFT J5948.4+5935, x 1830, y 1315
SWIFT J6181.4+5862, x 5, y 1906
SWIFT J6188.4+4112, x 1229, y -345
SWIFT J6432.4+6283, x -370, y 2264
SWIFT J6548.4+3811, x -1194, y 1631
SWIFT J6613.4+6358, x 1318, y 2686
SWIFT J6642.4+1379, x -1101, y 1696
SWIFT J6664.4+1424, x -1314, y 2126
SWIFT J6731.4+8238, x -19, y 1293
SWIFT J6823.4+5693, x -843, y 470
SWIFT J6932.4+8788, x 1248, y 1857
SWIFT J7186.4+2356, x -144, y 824
SWIFT J7188.4+5941, x -388, y 1517
SWIFT J7479.4+8728, x 1483, y 2
SWIFT J7552.4+6189, x 898, y 3098
SWIFT J8237.4+4454, x 207, y 559
SWIFT J8241.4+3954, x -925, y 1587
SWIFT J8285.4+2241, x 2304, y 249
SWIFT J8385.4+3276, x -980, y 1359
SWIFT J8617.4+7193, x -389, y -604
SWIFT J8787.4+7892, x 1197, y 2899
SWIFT J9211.4+1453, x 530, y 353
SWIFT J9453.4+7954, x 1358, y 429
WEB 11628, x 824, y 280
WEB 13591, x 1151, y 476
WEB 19923, x -527, y 1219
WEB 21126, x -645, y 2090
WEB 24414, x -12, y -480
WEB 25618, x 646, y 2067
WEB 26936, x 1348, y 1641
WEB 27383, x 1562, y 43
WEB 33872, x -960, y 1306
WEB 34152, x -409, y 3003
WEB 34464, x -509, y 506
WEB 41259, x -435, y 678
WEB 42227, x -1, y 1272
WEB 45672, x 505, y 455
WEB 47598, x -983, y 2175
WEB 47894, x -1191, y 2186
WEB 49173, x 806, y 2085
WEB 54173, x 378, y 2323
WEB 54567, x -220, y 966
WEB 54735, x 668, y 177
WEB 56461, x 1062, y 2516
WEB 56958, x -160, y 2099
WEB 57579, x 1182, y 2015
WEB 59378, x -1057, y -131
WEB 59886, x 1267, y 2355
WEB 61246, x 466, y 1262
WEB 63951, x 293, y -478
WEB 64792, x 352, y 715
WEB 66157, x -1007, y -164
WEB 71484, x -956, y -430
WEB 71827, x -124, y 1329
WEB 72714, x -850, y 1155
WEB 73537, x -369, y 1216
WEB 74956, x -1450, y 2761
WEB 76245, x -993, y 445
WEB 79231, x 805, y 2291
WEB 79585, x 749, y 560
WEB 79783, x -1137, y 551
WEB 82723, x 1055, y 388
WEB 85673, x -586, y 1083
WEB 86423, x -321, y 1050
WEB 86724, x -602, y 409
WEB 87435, x 224, y 2452
WEB 91877, x -250, y -365
WEB 92194, x -218, y -535
WEB 93959, x 558, y 1455
WEB 94248, x 1452, y 2622
WEB 94987, x -287, y 1333
WEB 96529, x 1540, y 2690
WEB 97375, x 1459, y 1342
[BM83] X1153+523, x -1559, y 2496
[BM83] X1159+396, x -49, y 636
[BM83] X1191+929, x 2104, y 1024
[BM83] X1286+278, x 393, y 578
[BM83] X1354+118, x 2231, y 1008
[BM83] X1795+673, x -1011, y -195
[BM83] X1936+375, x -400, y 1426
[BM83] X2191+618, x -454, y 2153
[BM83] X2255+726, x -359, y -65
[BM83] X2311+433, x 794, y 1358
[BM83] X2881+367, x 951, y 1702
[BM83] X3343+755, x -496, y -653
[BM83] X4321+884, x -925, y -209
[BM83] X4362+593, x -364, y 2498
[BM83] X4548+942, x 772, y 1075
[BM83] X4566+128, x 1835, y 353
[BM83] X4667+616, x 2422, y 477
[BM83] X5135+198, x -1092, y 1067
[BM83] X5234+632, x 1363, y 1970
[BM83] X5298+852, x -1314, y 1334
[BM83] X5492+168, x -790, y 2316
[BM83] X5558+669, x 373, y 2094
[BM83] X5559+363, x -879, y 1000
[BM83] X5618+795, x -1835, y 1899
[BM83] X5677+997, x -1216, y -475
[BM83] X5783+327, x 1761, y 761
[BM83] X6442+815, x 1455, y 2787
[BM83] X6931+443, x -366, y 2653
[BM83] X7536+569, x 999, y 62
[BM83] X8227+235, x 2324, y 122
[BM83] X8285+232, x 812, y 2248
[BM83] X8356+289, x -790, y 814
[BM83] X8393+524, x -758, y 2150
[BM83] X8455+556, x 1211, y 280
[BM83] X9177+829, x 61, y 470
[BM83] X9537+315, x 584, y -246
[BM83] X9672+344, x -327, y 2551
[BM83] X9724+512, x 1266, y 2517
[BM83] X9844+963, x 853, y -463
[BM83] X9926+741, x -1812, y 1010
